student_id,immigrant,female,minority,distance_band,ses_father,ses_mother,avg_kttx_h1,abs_phep_h1,abs_nophep_h1,diem_giua_ky,abs_phep_h2,abs_nophep_h2,delta_phep_h2,delta_nophep_h2,kttx3,kttx4,diem_cuoi_ky,tb_hoc_ky,y
MK2_0018,0,1,0,1,2,2,5.4,0,0,5.0,0,0,0,0,6.0,3.5,4.5,4.9,0
MK2_0019,0,0,0,0,4,4,8.75,1,0,10.0,2,0,1,0,10.0,10.0,9.5,9.6,1
MK2_0020,0,0,0,0,1,2,4.5,0,0,3.3,0,0,0,0,4.3,2.8,3.7,3.8,0
MK2_0021,0,0,0,0,2,3,6.4,0,0,4.8,0,0,0,0,5.8,5.0,4.9,5.3,1
MK2_0022,0,1,0,0,4,4,8.3,0,0,8.0,0,0,0,0,9.0,7.0,6.3,7.5,1
MK2_0023,0,0,0,1,1,2,4.4,0,0,4.3,1,0,1,0,5.3,2.3,3.1,3.8,0
MK2_0024,0,0,0,1,1,1,5.4,0,0,4.5,0,0,0,0,5.5,5.8,4.9,5.1,1
MK2_0025,0,1,0,0,2,2,5.55,0,0,4.8,1,0,1,0,5.8,5.8,4.7,5.2,1
MK2_0026,0,1,0,0,1,1,6.5,0,1,5.5,2,1,2,0,6.5,5.3,3.9,5.3,1
MK2_0027,0,1,1,0,4,1,9.5,0,0,9.5,0,0,0,0,10.0,7.8,7.4,8.7,1
MK2_0028,0,0,0,0,2,2,6.4,0,0,3.5,0,0,0,0,4.5,5.0,3.3,4.4,0
MK2_0029,0,0,0,0,2,1,3.65,0,0,5.5,1,0,1,0,6.5,3.8,2.2,3.9,0
MK2_0030,0,1,0,1,2,1,8.75,0,0,8.5,0,0,0,0,9.5,9.8,6.7,8.2,1
MK2_0031,0,1,0,0,2,1,6.5,0,0,6.8,1,0,1,0,7.8,6.5,5.0,6.2,1
MK2_0032,1,1,0,0,2,1,8.05,0,0,7.0,0,0,0,0,8.0,5.0,5.6,6.7,1
